institution,label,institution_state,statefips
00322300,University of Oregon,OR,41
00332900,Pennsylvania State University (The),PA,42
00332901,Pennsylvania State University (The) - College of Medicine,PA,42
00332902,Pennsylvania State University (The) - Lehigh Valley,PA,42
00332903,Pennsylvania State University (The) - Altoona,PA,42
00332904,Pennsylvania State University (The) - Beaver,PA,42
00332905,"Pennsylvania State University (The) - Erie, The Behrend College",PA,42
00332906,Pennsylvania State University (The) - Berks,PA,42
00332907,Pennsylvania State University (The) - DuBois,PA,42
00332908,Pennsylvania State University (The) - Fayette,PA,42
00332909,Pennsylvania State University (The) - Hazleton,PA,42
0033290W,Penn State World Campus,PA,42
00332910,Pennsylvania State University (The) - Greater Allegheny,PA,42
00332911,Pennsylvania State University (The) - Mont Alto,PA,42
00332912,Pennsylvania State University (The) - New Kensington,PA,42
00332913,Pennsylvania State University (The) - Abington,PA,42
00332914,Pennsylvania State University (The) - Schuylkill,PA,42
00332915,Pennsylvania State University (The) - Scranton,PA,42
00332916,Pennsylvania State University (The) - Shenango,PA,42
00332917,Pennsylvania State University (The) - Wilkes-Barre,PA,42
00332918,Pennsylvania State University (The) - York,PA,42
00332919,Pennsylvania State University (The) - Great Valley School of Grad/Prof,PA,42
00332920,Pennsylvania State University (The) - Harrisburg,PA,42
00332921,Pennsylvania State University (The) - Brandywine,PA,42
00332922,Pennsylvania State University (The) - Dickinson Law,PA,42
00341700,Allen University,SC,45
00341900,Charleston Southern University,SC,45
00342200,Southern Wesleyan University,SC,45
00342300,"Citadel, the Military College of South Carolina",SC,45
00342400,Claflin University,SC,45
00342500,Clemson University,SC,45
00342600,University of South Carolina - Sumter,SC,45
00342700,Coker University,SC,45
00342800,College of Charleston,SC,45
00342900,Columbia International University,SC,45
00343000,Columbia College of South Carolina,SC,45
00343100,Converse College,SC,45
00343200,Erskine College,SC,45
00343400,Furman University,SC,45
00343500,Lander University,SC,45
00343600,Limestone University,SC,45
00343700,Lutheran Theological Southern Seminary,SC,45
00343900,Morris College,SC,45
00344000,Newberry College,SC,45
00344100,North Greenville University,SC,45
00344500,Presbyterian College,SC,45
00344600,South Carolina State University,SC,45
00344700,Spartanburg Methodist College,SC,45
00344800,University of South Carolina - Columbia,SC,45
00344900,University of South Carolina - Aiken,SC,45
00345000,University of South Carolina - Beaufort,SC,45
00345100,Coastal Carolina University,SC,45
00345300,University of South Carolina - Lancaster,SC,45
00345400,University of South Carolina - Salkehatchie,SC,45
00345500,Voorhees College,SC,45
00345600,Winthrop University,SC,45
00345700,Wofford College,SC,45
00348400,Covenant College,GA,13
00353900,Alvin Community College,TX,48
00354000,Amarillo College,TX,48
00354100,Angelo State University,TX,48
