institution code,institution name,State
964700,Oklahoma State University-Oklahoma City,Oklahoma
965100,Texas A & M International University,Texas
974000,Inver Hills Community College,Minnesota
974100,The University of Texas at Dallas,Texas
976300,Tulsa Community College,Oklahoma
976400,Tunxis Community College,Connecticut
976500,Three Rivers Community College,Connecticut
976800,University of North Texas Health Science Center,Texas
979700,Midland College,Texas
982600,Kennebec Valley Community College,Maine
991000,Technical College of the Lowcountry,South Carolina
991700,Ivy Tech Community College,Indiana
992800,Piedmont Virginia Community College,Virginia
992900,SUNY College of Optometry,New York
993000,The University of Texas Permian Basin,Texas
993600,Middlesex Community College,Massachusetts
994100,Belmont College,Ohio
994200,Shawnee State University,Ohio
997500,Northwest Louisiana Technical Community College,Louisiana
998100,Morgan Community College,Colorado
1001900,University of Texas Southwestern Medical Center,Texas
1002700,James A. Rhodes State College,Ohio
1005100,CUNY LaGuardia Community College,New York
1005600,Aiken Technical College,South Carolina
1006000,Vernon College,Texas
1009700,CUNY Medgar Evers College,New York
1011500,The University of Texas at San Antonio,Texas
1017000,Western Dakota Technical College,South Dakota
1018200,Rogue Community College,Oregon
1028600,Empire State University,New York
1033800,Eastern Virginia Medical School,Virginia
1034500,Cincinnati State Technical and Community College,Ohio
1037400,Metropolitan State University,Minnesota
1038700,El Paso Community College,Texas
1039100,Oklahoma City Community College,Oklahoma
1040200,Dakota County Technical College,Minnesota
1045300,Washington State Community College,Ohio
1049100,Hennepin Technical College,Minnesota
1053000,Quinebaug Valley Community College,Connecticut
1054600,Century College,Minnesota
1063300,Houston Community College,Texas
1067400,Texas Tech University Health Sciences Center,Texas
1068400,Erie Community College,New York
1073600,Marion Technical College,Ohio
1088100,Stark State College,Ohio
1099700,East Georgia State College,Georgia
1104600,Central Ohio Technical College,Ohio
1114500,Lone Star College System,Texas
1115000,Asnuntuck Community College,Connecticut
1116100,Texas A & M University-Corpus Christi,Texas
1116300,The University of Texas at Tyler,Texas
1116500,Uintah Basin Technical College,Utah
1121000,Bunker Hill Community College,Massachusetts
1122000,Windward Community College,Hawaii
1128200,Oklahoma State University Center for Health Sciences,Oklahoma
1167800,SUNY Polytechnic Institute,New York
1171100,University of Houston-Clear Lake,Texas
1193000,Roxbury Community College,Massachusetts
1201500,Austin Community College District,Texas
1216500,Atlanta Metropolitan State College,Georgia
1275000,Edison State Community College,Ohio
1287000,Southern State Community College,Ohio
1287500,Pickens Technical College,Colorado
1303907,South University-Columbia,South Carolina
1323100,University of Houston-Victoria,Texas
2053000,Liberty University,Virginia
2055400,Bossier Parish Community College,Louisiana
2063700,Sherman College of Chiropractic,South Carolina
2074800,Life University,Georgia
2107800,University of Hawaii-West Oahu,Hawaii
2115400,Bridgerland Technical College,Utah
2116300,Pueblo Community College,Colorado
2140800,Martin University,Indiana
2156600,Davis Technical College,Utah
2166100,Nunez Community College,Louisiana
2244900,Goodwin University,Connecticut
2276900,Community College of Aurora,Colorado
2315400,Northeast Texas Community College,Texas
2341300,Palo Alto College,Texas
2346500,Ogden-Weber Technical College,Utah
2348500,Lamar State College-Port Arthur,Texas
2358200,Lamar State College-Orange,Texas
2361400,Collin County Community College District,Texas
2454400,Northeast Ohio Medical University,Ohio
2530600,St Charles Community College,Missouri
2555400,The University of Texas MD Anderson Cancer Center,Texas
2615800,College of Court Reporting Inc,Indiana
3064600,Texas Southmost College,Texas
3083000,Ozarks Technical Community College,Missouri
3091300,Regent University,Virginia
3103400,South Texas College,Texas
3106000,Missouri State University-West Plains,Missouri
3122900,York County Community College,Maine
3129100,Fond du Lac Tribal and Community College,Minnesota
3170300,Texas A&M University-Texarkana,Texas
3191300,CUNY School of Law,New York
3234300,Charter Oak State College,Connecticut
3372300,Northwest Vista College,Texas
3413300,Mountainland Technical College,Utah
3428300,Klamath Community College,Oregon
3627300,Lamar Institute of Technology,Texas
3709300,Edward Via College of Osteopathic Medicine,Virginia
3730300,Baton Rouge Community College,Louisiana
3789400,River Parishes Community College,Louisiana
3956300,South Louisiana Community College,Louisiana
4054300,Southwest Technical College,Utah
4121700,Dixie Technical College,Utah
4130100,Louisiana Delta Community College,Louisiana
4142900,Georgia Gwinnett College,Georgia
4151300,American College of Education,Indiana
4151900,Columbia Gorge Community College,Oregon
4191500,Tooele Technical College,Utah
4194900,Tillamook Bay Community College,Oregon
4208700,Colorado State University Global,Colorado
4210100,CUNY Stella and Charles Guttman Community College,New York
4229500,Texas A&M University-Central Texas,Texas
4242100,University of North Texas at Dallas,Texas
4248500,Texas A&M University-San Antonio,Texas
4263600,Northeast Lakeview College,Texas
4283700,Oregon Coast Community College,Oregon
30182251,Indiana Wesleyan University-National & Global,Indiana
